"scenario","method","mean_cor","mean_rmse","success_rate","oasis_variant"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","hrfals_fastlss[cpp]",0.352898369275188,2.37309944597066,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","hrfals_fastlss[r]",0.503917533014665,1.78750186196793,1,NA
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","hrfals_fastlss[cpp]",0.620742917096433,1.56699184507676,1,NA
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","hrfals_fastlss[cpp]",0.348746841809024,2.61038567638038,1,NA
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","hrfals_fastlss[cpp]",0.43651793101053,2.47355301547529,1,NA
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","fmrilss_oasis_best",0.486786604417744,1.76412954770411,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","hrfals_fastlss[cpp]",0.310522013700272,3.58455403035408,1,NA
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","hrfals_fastlss[r]",0.380085211565201,2.62841197610421,1,NA
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","hrfals_fastlss[r]",0.427524752628726,2.28424181460435,1,NA
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_sbhm",0.317917899236001,3.70637497413285,1,NA
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",0.463794408084267,2.90291459576522,1,NA
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_sbhm",0.574804650076012,2.44437197463415,1,NA
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_sbhm",0.281687325059354,4.69559977317038,1,NA
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","fmrilss_sbhm",0.397847119875829,3.63844201547956,1,NA
"h2_r2_c3__hrf_lag2_widen1p5__ar_mod__isi_sparse__amp_none","fmrilss_sbhm",0.42403080140928,2.85154516563729,1,NA
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_sbhm",0.290383960995218,5.533855558605,1,NA
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",0.306759912552353,3.993111992791,1,NA
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",0.32165444179302,3.65273482807062,1,NA
