"method","mean_cor"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.380806537381849
"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.380734707550442
"fmrilss_oasis[fractional|x=0.01|b=0.05]",0.380709412927001
"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.380531655527972
"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.380455482308781
"fmrilss_oasis[fractional|x=0.05|b=0.01]",0.380433548642772
"fmrilss_oasis[fractional|x=0.01|b=0.02]",0.380428645992286
"fmrilss_oasis[fractional|x=0.02|b=0.01]",0.380355811591744
"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.380350284289836
"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.38034513686783
"fmrilss_oasis[absolute|x=0.05|b=0.01]",0.38034341827787
"fmrilss_oasis[fractional|x=0.01|b=0.01]",0.380328419996801
"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.380265528225197
"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.380260315285244
"fmrilss_oasis[absolute|x=0.02|b=0.01]",0.380258574827238
"fmrilss_oasis[absolute|x=0.01|b=0.05]",0.380235535541225
"fmrilss_oasis[absolute|x=0.01|b=0.02]",0.38023029919806
"fmrilss_oasis[absolute|x=0.01|b=0.01]",0.380228550928658
"fmrilss_lss",0.380195831664475
"fmrilss_sbhm",0.363628715497478
"st_pool_compcv_wnever",0.312657340357627
"st_pool_mean",0.296619835052501
"st_pool_joint_mult",0.294539779647398
"st_pool_compcv_wB",0.247649660911404
"st_pool_compcv",0.231513467557017
