"scenario","method","mean_cor","mean_rmse","success_rate","amp_method"
"medium_nominal","fmrilss_sbhm",0.108875790162417,5.1297461049941,1,"global_ls"
"medium_mismatch","fmrilss_sbhm",0.0536932969264754,5.4788110341436,1,"global_ls"
"hard_nominal","fmrilss_sbhm",0.0773857705944721,4.54492390920574,1,"global_ls"
"hard_mismatch","fmrilss_sbhm",0.0533952734365974,4.7824399329484,1,"global_ls"
"medium_nominal","fmrilss_sbhm",0.203283845715706,4.6858627409198,1,"lss1"
"medium_mismatch","fmrilss_sbhm",0.197061460034376,4.61647030947694,1,"lss1"
"hard_nominal","fmrilss_sbhm",0.182970097681013,5.39087262813363,1,"lss1"
"hard_mismatch","fmrilss_sbhm",0.169962778637926,6.00462602080993,1,"lss1"
"medium_nominal","fmrilss_sbhm",0.203294628508091,4.68536671765185,1,"oasis_voxel"
"medium_mismatch","fmrilss_sbhm",0.197074642276155,4.61640885467803,1,"oasis_voxel"
"hard_nominal","fmrilss_sbhm",0.182972749239123,5.39086170022462,1,"oasis_voxel"
"hard_mismatch","fmrilss_sbhm",0.169963527160302,6.00452447938888,1,"oasis_voxel"
"medium_nominal","fmrilss_sbhm",0.203283845715706,4.6858627409198,1,"global_ls_gated"
"medium_mismatch","fmrilss_sbhm",0.120580118754957,4.78080019587703,1,"global_ls_gated"
"hard_nominal","fmrilss_sbhm",0.0773857705944721,4.54492390920574,1,"global_ls_gated"
"hard_mismatch","fmrilss_sbhm",0.0533952734365974,4.7824399329484,1,"global_ls_gated"
