"density","policy","n_atoms","n","success_rate","mean_cor","mean_rmse","mean_margin","margin_cor_pearson","margin_cor_spearman"
"coarse","hard_top1",6,20,1,0.278634244201098,4.20907920719706,0.143652751336943,0.0697732793134628,0.0345864661654135
"coarse","soft_top3_all",6,20,1,0.285279596793454,5.27269895331059,0.143652751336943,0.0360019451397675,0.0120300751879699
"coarse","soft_top3_margin08",6,20,1,0.283028148304853,4.57351711619946,0.143652751336943,0.0514173620772315,0.0270676691729323
"coarse","soft_top5_margin08",6,20,1,0.284757167022796,4.41753469098806,0.143652751336943,0.0130238827935616,0.0345864661654135
"moderate","hard_top1",15,20,1,0.243804310642437,4.19874538636036,0.0667190646675414,0.00990627506061311,0.00902255639097744
"moderate","soft_top3_all",15,20,1,0.279251176152311,4.76131218067806,0.0667190646675414,-0.177577995417469,-0.0240601503759398
"moderate","soft_top3_margin08",15,20,1,0.272405000505075,4.45749987117929,0.0667190646675414,-0.140082749588913,-0.0917293233082707
"moderate","soft_top5_margin08",15,20,1,0.278308267711083,4.82526915992575,0.0667190646675414,-0.16730352502732,-0.121804511278195
"dense","hard_top1",42,20,1,0.232746040799424,4.06642940231529,0.058146842318071,-0.124865436914335,-0.105263157894737
"dense","soft_top3_all",42,20,1,0.25259210617244,4.45970281045968,0.058146842318071,-0.167577204565754,-0.196992481203007
"dense","soft_top3_margin08",42,20,1,0.249295119807024,4.27586267090618,0.058146842318071,-0.176928007913153,-0.180451127819549
"dense","soft_top5_margin08",42,20,1,0.258931554826398,4.39679470404486,0.058146842318071,-0.193140678038677,-0.254135338345865
"very_dense","hard_top1",130,20,1,0.222258840231224,3.97408443911769,0.0376173232212162,-0.394388924269985,-0.378947368421053
"very_dense","soft_top3_all",130,20,1,0.241913033850542,4.43921124901576,0.0376173232212162,-0.375045766834467,-0.403007518796992
"very_dense","soft_top3_margin08",130,20,1,0.239700269190146,4.35032394269273,0.0376173232212162,-0.412435591837031,-0.44812030075188
"very_dense","soft_top5_margin08",130,20,1,0.247062803896085,4.58394410282127,0.0376173232212162,-0.419118973194966,-0.393984962406015
