"density","policy","n_atoms","mean_cor","mean_rmse","success_rate"
"coarse","hard_tau015",6,0.278634244201098,4.20907920719706,1
"coarse","hard_tau0",6,0.277419682471704,4.23949470261801,1
"coarse","soft3m08_tau015",6,0.283028148304853,4.57351711619946,1
"coarse","soft3m08_tau0",6,0.283009411883449,4.58229010702095,1
"moderate","hard_tau015",15,0.243804310642437,4.19874538636036,1
"moderate","hard_tau0",15,0.243804310642437,4.19874538636036,1
"moderate","soft3m08_tau015",15,0.272405000505075,4.45749987117929,1
"moderate","soft3m08_tau0",15,0.271565998175251,4.46098396683792,1
"dense","hard_tau015",42,0.232746040799424,4.06642940231529,1
"dense","hard_tau0",42,0.232746040799424,4.06642940231529,1
"dense","soft3m08_tau015",42,0.249295119807024,4.27586267090618,1
"dense","soft3m08_tau0",42,0.248750845679759,4.27475759275575,1
"very_dense","hard_tau015",130,0.222258840231224,3.97408443911769,1
"very_dense","hard_tau0",130,0.222208971731664,3.97670000785303,1
"very_dense","soft3m08_tau015",130,0.239700269190146,4.35032394269273,1
"very_dense","soft3m08_tau0",130,0.239638540852101,4.34486455695435,1
